Kanji,On_Reading,Kun_Reading,Meaning,Examples,Components,Koohii_Story_1,Koohii_Story_2,Seen,Update_Date
側,ソク,がわ,side; lean; oppose; regret,右側 (みぎがわ) right side<br>左側 (ひだりがわ) left side<br>側 (そば) beside; proximity; besides,人: person 則: rule; follow; based on; model after,Mr. T rulezzz! I am on his side!,Chuck Norris´s rules are easy to live by/ just be on his side.,,
全,ゼン,すべ・て/まった・く,all; entire; fulfill; whole,全体 (ぜんたい) whole; entirety<br>全員 (ぜんいん) all members; everyone<br>全国 (ぜんこく) nationwide<br>安全 (あんぜん) safety; security<br>全部 (ぜんぶ) all; entire; whole,人: person 玉: jewel; ball,The fat king hogs the whole space under his umbrella. (tweaked version of radical tyro´s story. 'fat' makes a more vivid image for me.).,The king takes up the whole space under his umbrella.,,
内,ダイ/ナイ,うち,inside; within; house; home; among; between,内容 (ないよう) contents; substance; details<br>以内 (いない) within; up to; less than<br>家内 (かない) (hum) wife | one's family<br>案内 (あんない) guidance; showing around,冂: upside-down box radical (no. 13) 人: person,Mr. T´s new belt is huge! When he´s inside it/ his feet no longer touch the ground!,How is a person ever supposed to get inside that girl when she´s wearing such a huge chastity belt? I guess that´s kinda the point/ eh?,,
冷,レイ,さ・ます/さ・める/つめ・たい/ひ・える/ひ・や/ひ・やかす/ひ・やす,chill; cold (to the touch); cool,冷凍庫 (れいとうこ) freezer<br>冷静 (れいせい) calmness; composure<br>冷える (ひえる) to cool down; to get cold<br>冷房 (れいぼう) cooling; air-conditioner<br>冷蔵庫 (れいぞうこ) refrigerator,冫: two-stroke water radical or ice radical (no. 15) 令: orders; ancient laws; command; decree,To keep your water cool/ just order some ice.,The Japanese boss gives an order at the meeting: eat ice to stay cool (since they won´t be running the air conditioning anymore).,,
初,ショ,はじ・め/はじ・めて/はつ,beginning; first time,初心者 (しょしんしゃ) beginner<br>最初 (さいしょ) beginning; first<br>初めて (はじめて) for the first time<br>初めに (はじめに) first; at the beginning,衣: garment; clothes; dressing 刀: sword; saber; knife,This is the first time we´ve been out of the Shire/ Mr. Frodo! Says Sam/ covering himself with his cloak and clutching his dagger.,On his FIRST TIME/ he cloaked his dagger with a Trojan.,,
利,リ,き・く,advantage; benefit; profit,不利 (ふり) disadvantage; handicap<br>利口 (りこう) clever; shrewd; well-behaved (of kids/ animals/ etc)<br>利益 (りえき) profit; gains<br>有利 (ゆうり) advantageous; profitable<br>権利 (けんり) right; privilege<br>便利 (べんり) convenient; handy; useful,禾: 2-branch tree radical (no. 115) 刀: sword; saber; knife,In the middle ages there where only 2 ways for peasantry to make a profit. one by being a farmer/ 2 to be a mercenary and live by the way of the sword.,1. Steal a bunch of wheat from a wheat field by cutting it down with your saber. 2. ????? 3. Profit!,,
加,カ,くわ・える/くわ・わる,add; addition; Canada; include; increase; join,加える (くわえる) to add; to include<br>加わる (くわわる) to be added to<br>加減 (かげん) adjustment; add and subtract<br>参加 (さんか) participation<br>参加者 (さんかしゃ) participant<br>増加 (ぞうか) increase; growth,力: power; strength; strong; strain; bear up; exert 口: mouth,If you eat anymore/ you will be adding more カロries. (katakana karo).,This is Power Mouth/ the most annoying neighbour in the world who always has something to add.,,
助,ジョ,すけ/たす・かる/たす・ける,assist; help; rescue,助ける (たすける) to save; to rescue; to aid<br>助手 (じょしゅ) assistant; helper<br>援助 (えんじょ) aid; support<br>救助 (きゅうじょ) relief; aid,且: moreover; also; furthermore 力: power; strength; strong; strain; bear up; exert,HELP! Someone´s pinned under this bookshelf and it´s gonna take a lot of muscle to lift it off!,Can you help me move this shelf? I don´t have the muscle to do it alone.,,
労,ロウ,,labor; reward for; thank for; toil; trouble,労働 (ろうどう) labor; work<br>苦労 (くろう) hardship; labour; toil,小: small/ insignificant 冖: wa-shaped crown radical (no. 14) 力: power; strength; strong; strain; bear up; exert,Those jocks who always tried to show their muscles in the schoolhouse are now the ones out there doing manual labor jobs while we sit here and learn Japanese. Ha!,At the schoolhouse/ the administration develops the children´s muscles by making them do manual labour.,,
勝,ショウ,か・つ/まさ・る,excel; prevail; victory; win,優勝 (ゆうしょう) overall victory; championship<br>勝ち (かち) victory<br>勝手 (かって) one's own convenience<br>勝手に (かってに) selfishly/ of one's own convenience,肉: meat 劵: become fatigued; stop,After your VICTORY cut your enemy´s FLESH into QUARTERs to show your POWER.,After England´s victory over Scottish rebel William Wallace/ they had his flesh drawn and quartered and then sent around Britain to demonstrate their power.,,
化,カ/ケ,ば・かす/ば・ける,-ization; change; influence; take the form of,化学 (かがく) chemistry<br>化粧 (けしょう) makeup; cosmetics<br>化粧品 (けしょうひん) cosmetics<br>変化 (へんか) change; transformation<br>文化 (ぶんか) culture,人: person 匕: spoon; spoon or katakana hi radical (no. 21),Referring to a scene in the movie 'The Matrix' where a girl bends a spoon with the power of her mind alone/ I imagine Mister T who changes a spoon into something else (maybe the waiter forgot to bring knives or forks). Note: as a primitive/ it can help to use the image of 'spare change'/ this can help you keep it distinct from other similar kanji such as 'shape' or 'turn into'.,Mr. T reaches into his wallet for some spare change but it has all changed into spoons.,,
単,タン,,merely; one; simple; single,単なる (たんなる) mere; simple<br>単に (たんに) simply; merely<br>単位 (たんい) unit; denomination<br>単純 (たんじゅん) simple; plain<br>単語 (たんご) word; vocabulary<br>簡単 (かんたん) simple,小: small/ insignificant 甲: armor; high (voice); A grade; first class; former; instep; carapace,Owls are smart...for this owl everything is simple coz his brain is ten times more powerful than mine.,An owl´s brain is ten times smarter than other simple minded birds…,,
原,ゲン,はら,field; meadow; plain; original; primitive,原 (はら) field; plain<br>原因 (げんいん) cause,厂: wild goose; trailing cliff radical (no. 27) 白: white 小: little; small,Follow the springs down the cliff and you will find a nice meadow.,Sorry about this/ but Heisig was stupid calling this kanji meadow/ used in composite words the most common meaning is ORIGIN... To remember just think that life may have begun in pounds or springs in a land with many cliffs ... Just to answer correctly the review lessons think of meadow as the origin of a huge forest.,,
参,サン,まい・る,come; go; visit; participate; to intersect; be appened to,参加 (さんか) participation<br>参加者 (さんかしゃ) participant<br>参考 (さんこう) reference<br>参考になる (さんこうになる) to be of use (as a reference)<br>参る (まいる) (hum) to go; to come; to call,厶: I; myself; katakana mu radical (no. 28) 大: large; big 彡: three; hair ornament; short hair or fur radical (no. 59),I´m going to visit my grandpa in the hospital. He broke his elbow/ and it became really big and contorted into a weird shape. I hope he will be all right!,Whenever the postman has to pay a visit to this place/ he brings an elbow-shaped thingy that he throws to the St. Bernard.,,
反,タン/ハン/ホン,そ・らす/そ・る,anti-,反抗 (はんこう) opposition; resistance<br>違反 (いはん) violation; offense<br>反対 (はんたい) reverse; opposite | to object to; to oppose,厂: wild goose; trailing cliff radical (no. 27) 又: or again; furthermore; on the other hand,I think of an anti-hero (Dirty Harry etc.) for this primitive/ whose trademark for disposing of villians is not an honorable fight/ but a kick in the crotch and then a shove off a cliff (perhaps whilst the villain´s back is turned).,Many cultures are so anti-sex you´d think they just want people to throw their crotches over a cliff.,,
取,シュ,と・る,fetch; take,取り上げる (とりあげる) to pick up; to adopt; to accept | to confiscate<br>取り直す (とりなおす) to re-obtain<br>取引先 (とりひきさき) customer; client<br>受け取る (うけとる) to accept; to receive<br>取り替える (とりかえる) to exchange; to replace,耳: ear 又: or again; furthermore; on the other hand,You put your ear next to a womans crotch...and somehow/ from it/ you hear the words 'Take me....'.,Fuaburisu´s with a twist: You know that classic trick where someone pretends to take something out of an someone else´s ear (such as a coin). Instead of a cigarette or a pen he pulls the person’s crotch out of their ear. Very painful!,,
受,ジュ,う・かる/う・ける,accept; receive; answer; catch,受かる (うかる) to pass (examination)<br>受け取る (うけとる) to accept; to receive<br>受ける (うける) to take (a test); to receive<br>受付 (うけつけ) reception; information desk,爪: claw; nail; talon 冖: wa-shaped crown radical (no. 14) 又: or again; furthermore; on the other hand,The bird house is the brothel (someone else said so) and of course everyone is welcome - thay accept any crotch.,A birdhouse is a whorehouse that will accept any crotch even those with STDs. (Image: a birdhouse whorehouse with every kind of bird coming and going. Some old madam at the front hole accepts everyone/ even the nasty old crows).,,
号,ゴウ,,yell; call; name; nickname; number,信号 (しんごう) traffic signal<br>番号 (ばんごう) number,口: mouth 一: one; one radical (no.1),My nickname is 'No Lips'. Yep/ I shouldn´t have put my mouth on that bear trap...,When certain nickname snares to people´s mouths/ they will call you that way forever.,,
向,コウ,む・かう/む・く/む・ける/む・こう,peel; face; tend toward; confront,傾向 (けいこう) tendency; inclination<br>向かい (むかい) facing; across the street<br>方向 (ほうこう) direction; orientation<br>向う (むかう) to face; to go towards<br>向こう (むこう) opposite side; other side; opposite direction,丿: katakana no radical (no. 4) 冂: upside-down box radical (no. 13) 口: mouth,Look over yonder ! That tiny dot is robin hood at the mouth of his secret cave !,There was an old woman named Wanda/// Who wanted to make herself blonder.// She covered her くち// With a glass hood from Gucci// And dropped some hair dye on from yonder.,,
君,クン,きみ,you; male name suffix; ruler,君 (きみ) you<br>～君 (～くん) Mr. ～ (used for someone of equal or lesser status),尹: an official rank 口: mouth,There´s a tendancy in Japan to make the younger members (kouhai) clean up after the older members (senpai) of a group/ which results in a lot of grumbling and whining. 'Well old boy/' a senpai might say/ 'If you did as much work with the mop as you do with your mouth/ you would have been done an hour ago'.,The Beatles/ english old boys/ had hairs like mop and a good singing mouth.,,
告,コク,つ・げる,announce; inform; revelation; tell,報告 (ほうこく) report; information<br>報告書 (ほうこくしょ) (written) report<br>広告 (こうこく) advertisement<br>警告 (けいこく) warning; disclaimer,牛: cow 口: mouth,The revelation makes the cow´s mouth drop down/ 'Hamburgers are made of what?!'.,When you get a revelation/ you may drop to the ground with your mouth wide open.,,
商,ショウ,あきな・う,trade in; make a deal; merchant,商人 (しょうにん) trader; merchant<br>商品 (しょうひん) good; merchandise<br>商売 (しょうばい) trade; commerce<br>商店街 (しょうてんがい) shopping area; shopping arcade<br>新商品 (しんしょうひん) new product,立: stand up; rise; set up; erect 冏: light; clear; bright,I use what I think is the real etymology for this kanji which is so shocking it sticks. The STANDING member at the top is a certain part of the body that all men have and it is approaching the HOLE between TWO LEGS (the HOOD) with extra marks to show they are FLESHY - ie a womans legs. So this shows the oldest DEAL of all time - prostitution.,Slick Willy standing on the motorcycle helmet he´s trying to sell you to demonstrate how rugged it is. His legs crash through the top of it and after a moment of awkward silence his mouth opens and says/ 'hey/ we can still make a deal.'.,,
園,エン,その,garden; park; yard,動物園 (どうぶつえん) zoo<br>公園 (こうえん) park,囗: box or enclosure radical (no. 31); box 袁: long kimono,A nice picnic pent up in the park/ with your crock pot and scarf (picnic blanket).,There was a homeless man living in a box at the park so I gave him a lidded crock filled with hot curry tied with a scarf...,,
変,ヘン,か・える/か・わる,change; strange; unusual,変化 (へんか) change; transformation<br>変更 (へんこう) change; alteration<br>変える (かえる) to change; to alter<br>変わる (かわる) to change<br>大変 (たいへん) very; terribly | difficult; hard,亦: also; again 夂: winter radical (no. 34),It´s quite unusual and abnormal to see an apple with walking legs running away from the person who wants to eat it!,Imagine an apple on walking legs on stage singing 'It´s not unusual to be loved by anyone' (Tom Jones). Keyword can be confused with uncommon (#1797).,,
夫,フ/フウ,おっと,husband; man,夫人 (ふじん) (hon) wife; Mrs<br>夫婦 (ふうふ) married couple; husband and wife<br>工夫 (くふう) scheme; device<br>丈夫 (じょうぶ) healthy; robust; solid; durable<br>大丈夫 (だいじょうぶ) safe; all right; alright; OK,大: large; big,Even though it is argued size is not important/ I´m sure most women would like their husband to have a big one.,Homer Simpson/ as a primitive.,,
失,シツ,うしな・う,be defeated; lose; overlook; error; fault,失望 (しつぼう) disappointment; despair<br>失業 (しつぎょう) losing one's job; becoming unemployed<br>失敗 (しっぱい) failure<br>失礼 (しつれい) impolite; rude | excuse me; I'm leaving,丿: katakana no radical (no. 4) 夫: husband; man,The drop falling here is the husband´s toupee... he´s already lost his hair once/ now he´s losing it again. Such is life/ I suppose.,Note: Heisig´s stroke order is wrong. It´s the same as vermilion/ drop first. Homer loses/drops his wedding ring.,,
守,シュ/ス,まも・る,protect; defend,守る (まもる) to protect; to guard; to uphold; to follow<br>留守 (るす) absence; being away from home,宀: shaped crown; katakana u radical (no. 40) 寸: measurement; foot/10,A GUARD is usually 'glued' to the house he watches.,A guard provides a measure of security to those under a roof.,,
完,カン,,completion; end; perfect,完了 (かんりょう) completion<br>完全 (かんぜん) completeness<br>完成 (かんせい) completion; accomplishment,宀: shaped crown; katakana u radical (no. 40) 元: beginning; former time; origin,Make the perfect impression in the beginning by removing your shoes upon entering a Japanese home.,In the beginning/ Adam and Eve had a home in Eden. It was perfect.,,
官,カン,,bureaucrat; government; organ (body),警官 (けいかん) police officer,宀: shaped crown; katakana u radical (no. 40) 口: mouth,No one likes classical music anymore. Our Maestro is here at home without his baton sighing sadly before he heads off for another day as his new job as a bureaucrat.,Bureaucrat/ def: The maestro without a baton/ the one who orchestrates oppressive rules/ regulations and taxes on every household.,,
定,ジョウ/テイ,さだ・か/さだ・まる/さだ・める,decide; determine; establish; fix,勘定 (かんじょう) calculation; computation; consideration<br>否定 (ひてい) denial; repudiation<br>安定 (あんてい) stability; steadiness<br>定期 (ていき) fixed period; fixed term<br>決定 (けってい) decision<br>予定 (よてい) plans; schedule | expectation; estimate,宀: shaped crown; katakana u radical (no. 40) 疋: head; counter for animals,In The Karate Kid/ the boy must prove his determination by MENDING his teacher´s HOUSE in various ways.,People who decide to renovate (ooh/ that´s a fancy word/ let´s say 'mend') their houses must be very determined DIYers. (Using DIY helps me remember this story when I see DEtermine).,,
実,ジツ,み/みの・る,reality; truth,事実 (じじつ) fact; reality<br>実に (じつに) indeed; really; truly<br>実は (じつは) as a matter of fact; frankly<br>実施 (じっし) enforcement; implementation<br>実現 (じつげん) implementation (e.g. of a system),宀: shaped crown; katakana u radical (no. 40) 三: three 人: person,Bonsais are grown in a house/ away from the harsh reality of the real world where they wouldn´t survive.,On this rather boring ´big brother´ type reality show/ they have locked up bonsai inside a house and everyone is watching them on TV 24x7. The viewers have to vote on which bonsai shall remain in the house and which one has to leave.,,
客,カク/キャク,,client; customer; guest; visitor,乗客 (じょうきゃく) passenger<br>観光客 (かんこうきゃく) tourist<br>観客 (かんきゃく) spectator<br>客 (きゃく) customer; visitor,宀: shaped crown; katakana u radical (no. 40) 各: each; every; either,Each person under my roof is treated as a guest.,In my house I welcome each guest.,,
宿,シュク,やど/やど・す/やど・る,to stay; lodge; inn; dwelling,宿泊 (しゅくはく) lodging<br>下宿 (げしゅく) lodging; boarding house<br>宿題 (しゅくだい) homework; assignment,宀: shaped crown; katakana u radical (no. 40) 佰: 100; hundred; leader of 100 men; east-west path between paddies,The Toyoko Inn can house 100 people or 1 Mr. T.,The inn is like a big house that can addomodate a hundred persons. Only this time/ there´s just Mister T and he´s booked all the rooms!,,
察,サツ,,clearly understand; know well; judge; classify,観察 (かんさつ) observation<br>診察 (しんさつ) medical examination<br>警察 (けいさつ) police; ploliceman,宀: shaped crown; katakana u radical (no. 40) 祭: ritual; offer prayers; celebrate; deify; enshrine; worship,I have an informed guess about whose house the dark rituals are performet at.,It´s anyone´s guess who´s house she will wake up in the morning after the festival (祭-matsuri),,
対,タイ/ツイ,,anti-; oppose; face; answer; respond,対する (たいする) to face (each other); to confront; to oppose<br>対象 (たいしょう) target; object; scope<br>絶対 (ぜったい) absolutely; unconditionally<br>反対 (はんたい) reverse; opposite | to object to; to oppose,文: sentence; literature; style; art; decoration; figures; plan; literary radical (no. 67) 寸: measurement; foot/10,When sitting vis-a-vis/ Scots will glue their kilt down to avoid embaressment.,The word vis-a-vis is like sentence glue/ it kind of joins sentences together.,,
局,キョク,,punctuation; division; bureau; department; board (of a game/ ex. shoji),テレビ局 (テレビきょく) television station<br>結局 (けっきょく) after all; ultimately<br>薬局 (やっきょく) pharmacy<br>郵便局 (ゆうびんきょく) post office<br>局 (きょく) bureau; department,尸: corpse; remains; flag radical (no. 44) 句: phrase; clause; sentence; passage; paragraph; counter for haiku,The Federal Bureau of Investigation has email scanners that flag certain phrases.,They do nothing at the bureau other than repeating the stupid catchphrase they have on their flag.,,
差,サ,さ・す,difference; discrepancy; distinction; variation; to dispatch; to recover,差別 (さべつ) discrimination; differentiation<br>差し上げる (さしあげる) (hum) to give; to offer | to raise<br>交差点 (こうさてん) crossing; intersection<br>差す (さす) to hold up (an umbrella/ etc.); to put up; to raise<br>差 (さ) difference; variation,羊: sheep 丿: katakana no radical (no. 4) 工: craft; construction; katakana e radical (no. 48),This New-Zealand pro-gamer has won many distinctions playing WoolCraft (a massively multi-user game in which the goal is to shear sheep).,Noob players make no distinction between what games they play/ whether it´s the geniune thing or a bootleg fake copy. The biggest example of course/ would be the legit World of Warcraft and the biggest ripoff there is: World of Wool-craft!,,
席,セキ,,seat; place; mat,出席率 (しゅっせきりつ) attendance rate<br>座席 (ざせき) seat<br>欠席 (けっせき) absence; non-attendance<br>出席 (しゅっせき) attendance; appearance<br>席（せき） (せき) seat,广: dotted cliff radical (no. 53) 廿: twenty; 20 巾: towel; hanging scroll; width; cloth radical (no. 50),Remember those poor commoners huddled in groups of 20 in a cave? The only thing they had for a seat was some old toweling (while their lords could recline on luxurious couches).,You´re tired from walking the tour at this cavern and there´s no benches to sit down on/ so you take a towel and sling it up into a hammock-like seat using the stalagmites. (Big no-no).,,
式,シキ,,form; rule; to conform; ceremony; rite,成人式 (せいじんしき) coming-of-age ceremony<br>正式 (せいしき) official; formality<br>～式 (～しき) a ceremony<br>式 (しき) equation; formula,弋: piling; ceremony radical (no. 56) 工: craft; construction; katakana e radical (no. 48),Each Indian tribe crafts their arrows in a certain style..,The latest style is shirts crafted out of arrows.,,
当,トウ,あ・たる/あ・てる,fit; shoulder; bear; appropriate,当たる (あたる) to be hit; to strike; to be selected; to win<br>当てる (あてる) to hit; to put on; to expose<br>当時 (とうじ) at that time; in those days<br>当然 (とうぜん) natural; of course<br>担当 (たんとう) being in charge; being responsible for<br>担当者 (たんとうしゃ) person in charge; person responsible<br>相当 (そうとう) considerably; rather; quite<br>見当 (けんとう) estimate; guess<br>適当 (てきとう) suitable; appropriate<br>弁当 (べんとう) bento; Japanese box lunch<br>本当 (ほんとう) truth; reality; actuality,小: little; small 彑: pig's head radical variant (no. 58),Some mothers use a small broom to hit their children when they misbehave.,Here is a weird carnival game where you hold a broom like a javelin and throw it/ trying to hit the center of a very small target. The target is so small/ in fact/ that if someone does manage to hit it/ the operator turns in surprise and says/ 'Whoa/ really?! (本当?!)'.,,
形,ギョウ/ケイ,かた/かたち,form; shape; style,人形 (にんぎょう) doll; puppet; figure<br>形 (かたち) form; shape,幵: put together 彡: three; hair ornament; short hair or fur radical (no. 59),Everyone in the kindergarten came up with fun and interesting shapes made out of Play-Doh/ except for the kid with the amputated arm. Seems like you really need both hands.,With your two hands/ outline the shape of a curvaceous woman. Is that a universally understood gesture? [Careful: mould (#680) which has two hands and soil/clay].,,
役,エキ/ヤク,,role; work; service,役割 (やくわり) part; role<br>役立つ (やくだつ) to be useful<br>役に立つ (やくにたつ) to be useful<br>役 (やく) use; service; role,彳: stop; linger; loiter; going man radical (no. 60) 殳: pike; windy-again radical (no. 79),Japanese kamikaze pilots (and the American from Dr. Strangelove) are so devoted to their duty that they go with their missiles.,Imagine those poor saps in charge of nuclear silos/ responsible for ICBMS/ those towering column missiles. When the order comes they must decide whether to obey their concience or do their duty and damn the world to atomic annihilation.,,
必,ヒツ,かなら・ず,certain; inevitable; invariably,必ずしも (かならずしも) not always; not necessarily<br>必死 (ひっし) frantic; desperate<br>必ず (かならず) certainly; without fail<br>必要 (ひつよう) necessary,心: heart; mind; spirit; heart radical (no. 61) 丿: katakana no radical (no. 4),You swear you´ll be in love forever/ but invariably there comes a time when your heart is divided.,For this kanji I invariably got the stroke order wrong. I nearly lost heart/ but decided to stick (pun) to it. Then I noticed the order is 1) katakana ソ (altered slightly); 2) fishhook; 3) two drops. Now I invariably get it right.,,
念,ネン,,bear in mind; attention; sense; thought,信念 (しんねん) belief; faith<br>記念 (きねん) commemoration; memory<br>残念 (ざんねん) bad luck; regret,今: now 心: heart; mind; spirit; heart radical (no. 61),Someone wishing from the bottom of their heart that the clock would stop. A mid-life crisis perhaps.,Remember in the Wizard of Oz when the tin man wished for a heart and the wizard gave him that dinky little clock instead?,,
息,ソク,いき,breath; respiration; interest (on money); son,息が切れる (いきがきれる) to be out of breath<br>息が止まる (いきがとまる) to stop breathing<br>息 (いき) breath<br>息子 (むすこ) son,自: oneself 心: heart; mind; spirit; heart radical (no. 61),Your breath brings oxygen in through your nose which is then pumped around your body by your heart.,I think I´ve met my dream girl/ but there´s a problem. her breath is horrible! So/ do I listen to my nose or my heart?,,
想,ソ/ソウ,,concept; idea; think; thought,思想 (しそう) idea; ideology<br>想像 (そうぞう) imagination; guess<br>理想 (りそう) ideal<br>連想 (れんそう) association (of ideas),相: inter-; mutual; together; each other; minister of state; councillor; aspect; phase; physiognomy 心: heart; mind; spirit; heart radical (no. 61),The concept of love is basically two hearts inter-acting as one.,´´Inter-heart´´ is a new therapy CONCEPT that helps macho guys share their feelings with each other.,,
感,カン,,emotion; feeling; sensation,感動 (かんどう) being deeply moved emotionally<br>感心 (かんしん) admiration; being impressed<br>感情 (かんじょう) emotion; feelings<br>感覚 (かんかく) sensation; feeling<br>感謝 (かんしゃ) thanks; gratitude,咸: all; same 心: heart; mind; spirit; heart radical (no. 61),Emotion is a march of mouths inside your heart telling you what to feel.,Strong EMOTIONS don´t stay hidden. They march right out of one´s heart (below) and out one´s mouth (shouted/ snarled/ or gently whispered - depending on exactly what kind of emotion it is!).,,
成,ジョウ/セイ,な・す/な・る,become; turn into; grow reach; elapse,完成 (かんせい) completion; accomplishment<br>成人 (せいじん) adult<br>成人式 (せいじんしき) coming-of-age ceremony<br>成功 (せいこう) success<br>成績 (せいせき) results; grades<br>成長 (せいちょう) growth,勹: wrapping enclosure; wrapping radical (no. 20) 戈: halberd; arms; festival car; float; tasselled spear radical (no. 62),It only takes a single stroke of a dagger for a parade to TURN INTO a bloodbath.,The gay parade suddenly TURNED INTO a DAGGER throwing fight.,,
戦,セン,いくさ/たたか・う,battle; match; war,大戦 (たいせん) great war; World War<br>戦い (たたかい) battle; conflict<br>戦争 (せんそう) war<br>戦う (たたかう) to wage war; to fight,単: simple; one; single; merely 戈: halberd; arms; festival car; float; tasselled spear radical (no. 62),George W. Bush´s plans for war were so SIMPLE. To him/ its all just a big FIESTA.,So there´s this fiesta in downtown Compton. It´s a simple party/ but someone invited people from the wrong gangs and the simple fiesta turns into an all-out turf war.,,
投,トウ,な・げる,throw; hurl; abandon; give up,投票 (とうひょう) voting<br>投げる (なげる) to throw,手: hand 殳: pike; windy-again radical (no. 79),Well/ you usually use your fingers to throw objects used as missile weapons. Easy. By the way/ for those of you looking for a less anachronistic image for the missile primitive as a modern rocket/ try a slingshot. it´s a crotch (originally a tree branch) that sends missile projectiles flying into/like the wind. And for this present kanji/ it is something you naturally use with your fingers...,If you use the primitive 'semen' (flying in the wind from your crotch) instead of missile then all kanjis with this primitive will hilariously create a perfect story.,,
