Kanji,Reading,Meaning,Seen,Update_Date
長期的,ちょうきてき,long-term,false,
越す,こす,to cross over (e.g. mountain); to surpass,false,
ホームページ,ホームページ,homepage,false,
なす,なす,eggplant,false,
信号,しんごう,traffic signal,true,2024-11-05
すなわち,すなわち,that is; i.e.,false,
アレルギー,アレルギー,allergy,false,
決心,けっしん,decision; resolution,false,
参考になる,さんこうになる,to be of use (as a reference),true,2024-11-08
抜群,ばつぐん,outstanding; exceptional,false,
名人,めいじん,expert,false,
利益,りえき,profit; gains,true,2024-11-07
財産,ざいさん,property; assets,false,
罰する,ばっする,to punish; to penalize,false,
おそらく,おそらく,perhaps; likely; probably,false,
自動販売機,じどうはんばいき,vending machine,false,
農家,のうか,farmer,false,
金曜,きんよう,Friday,false,
やがて,やがて,before long; soon | finally; in the end,false,
直に,じきに,in person; firsthand,false,
要求,ようきゅう,demand; request; requirement,false,
末（すえ）,すえ,tip; end,false,
遅刻,ちこく,being late,false,
説,せつ,theory; doctrine,false,
ボール,ボール,ball,false,
双子,ふたご,twins,false,
ぼんやり,ぼんやり,absentmindedly; vacantly,false,
ヨーロッパ,ヨーロッパ,Europe,false,
手品,てじな,sleight of hand,false,
たっぷり,たっぷり,full; ample,false,
マンション,マンション,apartment,false,
論じる,ろんじる,to discuss; to deal with (a topic); to dispute,false,
不利,ふり,disadvantage; handicap,true,2024-11-07
青年,せいねん,youth,false,
共通,きょうつう,common; shared,false,
極,きょく,extreme; zenith; pole,false,
特に～ない,とくに～ない,not particularly ～,false,
主義,しゅぎ,doctrine; rule,false,
事件,じけん,event; incident; case (usually negative),false,
集中,しゅうちゅう,concentration,false,
処理,しょり,processing; disposal,false,
虫歯,むしば,cavity; tooth decay,false,
トレーニング,トレーニング,training,false,
広がる,ひろがる,to spread (out); to extend,false,
都会,とかい,city,false,
止す,よす,to cease; to desist; to abolish,false,
あっという間に,あっというまに,just like that; before you know it,false,
得る,える,to get; to obtain; to win,false,
営業部,えいぎょうぶ,sales department,false,
暮らす,くらす,to live; to get along,false,
引退,いんたい,retirement,false,
表面,ひょうめん,surface; exterior,false,
端,はし,end (e.g. of street); tip; edge,false,
カット,カット,cut; haircut; shuffle (cards),false,
ミルク,ミルク,milk,false,
女王,じょおう,queen,false,
諺,ことわざ,proverb; saying,false,
ライバル,ライバル,rival,false,
年間,ねんかん,(period of) a year,false,
免許,めんきょ,license,false,
厄介,やっかい,trouble; burden; nuisance;,false,
香り,かおり,aroma,false,
刀,かたな,sword; katana,false,
大家,たいか,master; expert,false,
収入,しゅうにゅう,income; revenue,false,
頭痛,ずつう,headache,false,
食料,しょくりょう,food,false,
昨晩,さくばん,last night,true,2024-11-19
どんなに,どんなに,how; how much,false,
追う,おう,to chase; to pursue; to follow,false,
友情,ゆうじょう,friendship; camaraderie,false,
症状,しょうじょう,symptom,false,
食中毒,しょくちゅうどく,food poisoning,false,
食物,しょくもつ,food; foodstuff,false,
団体,だんたい,organization; association,false,
書類,しょるい,documents; official papers,false,
味方,みかた,friend; ally; supporter,false,
付き合う,つきあう,to associate with; to socialize with,true,2024-11-05
歩道,ほどう,walkway; sidewalk,false,
予期,よき,expectation; assumption,true,2024-11-04
永遠,えいえん,eternity; perpetuity,false,
ストレス,ストレス,stress,false,
記入,きにゅう,entry; filling in; filling out,false,
墓,はか,gravesite; tomb,false,
調査,ちょうさ,survey,false,
職場,しょくば,place of work,false,
ピアス,ピアス,earrings,false,
特徴,とくちょう,trait; characteristic,false,
組,くみ,group; class (of students),false,
構成,こうせい,organization; configuration,true,2024-11-16
日ごろ,ひごろ,normally; habitually,false,
石炭,せきたん,coal,false,
炎,ほのお,flame; blaze,false,
鎖,くさり,chain,false,
連れ,つれ,companion,false,
テント,テント,tent,false,
数字,すうじ,(math) numeral; digit; number,true,2024-11-18
クリスマス,クリスマス,Christmas,false,
式,しき,equation; formula,true,2024-11-14
硬貨,こうか,coin; hard currency,false,
抜く,ぬく,to extract; to omit,false,
本日,ほんじつ,today,false,
略,りゃく,abbreviation; omission,false,
アウト,アウト,outer; external; outside,false,
俳優,はいゆう,actor,false,
決まり,きまり,settlement; conclusion; agreement,true,2024-11-15
後者,こうしゃ,the latter,false,
ファイル,ファイル,file,false,
印刷,いんさつ,printing,false,
代表,だいひょう,representative,false,
いっせいに,いっせいに,simultaneously; all at once,false,
街,まち,city; town,false,
偽物,にせもの,counterfeit; imitation,true,2024-11-09
実現,じつげん,implementation (e.g. of a system),true,2024-11-13
貢献,こうけん,contribution,false,
休憩,きゅうけい,rest; break,false,
運,うん,fortune; luck,false,
大半,たいはん,majority; more than half,false,
必ずしも,かならずしも,not always; not necessarily,true,2024-11-15
布,ぬの,cloth,false,
博士,はかせ、はかし,doctorate; PhD,false,
観光客,かんこうきゃく,tourist,true,2024-11-13
サンタクロース,サンタクロース,Santa Claus,false,
引っ越し,ひっこし,moving; changing residence,false,
話しかける,はなしかける,to start a conversation,false,
犯罪,はんざい,crime; offence,false,
目が回る,めがまわる,to be dizzy,false,
植物,しょくぶつ,plant; vegetation,false,
戻す,もどす,to return; to restore,false,
物事,ものごと,things,false,
ドレス,ドレス,dress,false,
仲が良い,なかがいい,be friendly with,false,
息が止まる,いきがとまる,to stop breathing,true,2024-11-15
男の人,おとこのひと,man,false,
基づく,もとづく,to be based on; to originate from,false,
違い,ちがい,difference,false,
単に,たんに,simply; merely,true,2024-11-08
傾向,けいこう,tendency; inclination,true,2024-11-09
署名,しょめい,signature,true,2024-11-15
一人一人,ひとりひとり,one by one; one at a time,false,
記事,きじ,article; news story,false,
確実,かくじつ,certainty; reliability,true,2024-11-13
最高,さいこう,most; highest; best; finest,true,2024-11-19
明ける,あける,to empty; to make space | to dawn; to grow light,false,
給料,きゅうりょう,salary; wages,false,
支店,してん,branch office; branch store,false,
受け取る,うけとる,to accept; to receive,true,2024-11-09
建設,けんせつ,construction; establishment,false,
講演,こうえん,lecture; speech,false,
学費,がくひ,tuition; school expenses,false,
アドバイス,アドバイス,advice,false,
延期,えんき,postponement; deferment,false,
コード,コード,code; cord; chord,false,
ランニング,ランニング,running,false,
しっぽ,しっぽ,tail,false,
礼儀,れいぎ,manners; etiquette,false,
ダンス,ダンス,dance,false,
敬意,けいい,respect; honor,false,
ニーズ,ニーズ,needs,false,
球,きゅう,sphere; (baseball) counter for balls,false,
～のおかげ,～のおかげ,due to ～ (positive meaning),false,
写真家,しゃしんか,photographer,false,
科目,かもく,(school) subject; curriculum,false,
くやしい,くやしい,frustrating; regrettable,false,
同時,どうじ,simultaneous; concurrent,false,
上等,じょうとう,superior; first-class,false,
製品,せいひん,manufactured goods; product,false,
梅,うめ,Japanese apricot,false,
ボウリング,ボウリング,bowling,false,
最終,さいしゅう,last; final,true,2024-11-19
だいたい,だいたい,generally; approximately,false,
姉妹,しまい,sisters,false,
加わる,くわわる,to be added to,true,2024-11-08
愛情,あいじょう,love; affection,false,
起こる,おこる,to occur; to happen,true,2024-11-09
短期的,たんきてき,short-term,false,
アニメ,アニメ,animated film; animated cartoon,false,
いとこ,いとこ,cousin,false,
保証,ほしょう,guarantee; warranty,false,
国語,こくご,national language; Japanese language,false,
目薬,めぐすり,eye drops,false,
政府,せいふ,government,false,
バンド,バンド,band; musical group,false,
毛虫,けむし,hairy caterpillar,false,
新婦,しんぷ,bride,false,
バーベキュー,バーベキュー,barbeque,false,
希望,きぼう,request; hope; aspiration,true,2024-11-19
付ける,つける,to attach; to join; to apply,true,2024-11-05
親友,しんゆう,close friend,false,
昼過ぎ,ひるすぎ,a little past noon,false,
芝生,しばふ,lawn,false,
キュウリ,キュウリ,cucumber,false,
都市,とし,town; city,false,
郵便,ゆうびん,postal service; mail,false,
明確,めいかく,precise; definite,false,
夜中,よなか,middle of the night,false,
末（まつ）,まつ,the end of,false,
不正,ふせい,injustice; unfairness,false,
苦手,にがて,poor (at); weak (in); dislike (of),false,
泳ぎ,およぎ,swimming,false,
職業,しょくぎょう,occupation,false,
通じる,つうじる,to communicate (with); to be understood; to be connected,false,
目的,もくてき,goal; objective,false,
たとえ,たとえ,even if; no matter,true,2024-11-16
教師,きょうし,teacher (in school/classroom),false,
多少,たしょう,more or less; somewhat,false,
好み,このみ,liking; taste,false,
息が切れる,いきがきれる,to be out of breath,true,2024-11-15
灰,はい,ashes,false,
豪華,ごうか,wonderful; extravagant; splendid,false,
蚊,か,mosquito,false,
値下げ,ねさげ,price decrease,false,
昼食,ちゅうしょく,lunch,false,
中央,ちゅうおう,centre; middle; capitol,false,
嫌な,いやな,unpleasant,false,
奥,おく,inside; interior; depths; back,false,
騒ぎ,さわぎ,uproar,true,2024-11-15
下り,くだり,train going away from Tokyo,false,
つらい,つらい,painful; heart-breaking,false,
中心,ちゅうしん,center; middle; core,false,
批判,ひはん,criticism; judgement,false,
取り直す,とりなおす,to re-obtain,true,2024-11-09
遂に,ついに,finally; in the end,false,
胸,むね,chest,false,
袖,そで,sleeve,false,
ところで,ところで,by the way,false,
役,やく,use; service; role,true,2024-11-15
印,しるし,mark; sign,false,
労働,ろうどう,labor; work,true,2024-11-07
絵画,かいが,painting,false,
下記,かき,the below (text),false,
カビ,カビ,mold,false,
頃,ころ、ごろ,approximate time; around; about,false,
天然,てんねん,nature,false,
そのうち,そのうち,eventually; sooner or later,false,
出会う,であう,to come across; to meet; to encounter,false,
休暇,きゅうか,holiday; day off,false,
主要,しゅよう,main; principal,false,
延びる,のびる,to lengthen; to grow; to be extended; to be postponed,false,
案,あん,idea; thought,false,
少々,しょうしょう,just a minute; small quantity,false,
ノック,ノック,knock (on a door),false,
体を壊す,からだをこわす,to hurt one's health,false,
反抗,はんこう,opposition; resistance,true,2024-11-08
コミュニケーション,コミュニケーション,communication,false,
インターンシップ,インターンシップ,internship,false,
スピード,スピード,speed,false,
謎,なぞ,enigma; mystery,false,
こんなに,こんなに,like this; in this way,false,
思い出,おもいで,memories; reminiscence,false,
命,いのち,life; lifetime,false,
水曜,すいよう,Wednesday,false,
者,もの,person,false,
段,だん,step; stair; rank; level,false,
無視,むし,disregarding; ignoring,false,
高速,こうそく,high speed,false,
大雨,おおあめ,heavy rain,false,
従う,したがう,to obey; to follow,false,
さて,さて,well now; then,false,
先日,せんじつ,the other day; a few days ago,false,
気味,きみ,sensation; feeling,false,
面（めん）,めん,face; mask,false,
同僚,どうりょう,coworker; colleague,false,
暗記,あんき,memorization,false,
笑顔,えがお,smiling face; smile,false,
冷凍庫,れいとうこ,freezer,true,2024-11-06
相続,そうぞく,succession; inheritance,false,
検査,けんさ,inspection; examination,false,
生じる,しょうじる,to produce; to yield | to result from,false,
羽,はね,feather,false,
逆らう,さからう,to oppose; to defy,false,
評価,ひょうか,assessment; evaluation,false,
常に,つねに,always; constantly,false,
髪の毛,かみのけ,hair (head),false,
主張,しゅちょう,claim; assertion,false,
ピザ,ピザ,pizza,false,
姿,すがた,figure; form,false,
発行,はっこう,publication; issue,false,
誤り,あやまり,error; mistake,false,
世間,せけん,society; people,false,
引っ張る,ひっぱる,to pull out; to draw out,false,
入場,にゅうじょう,entrance; admission,false,
願う,ねがう,to desire; to request,false,
価格,かかく,price; value,false,
見送り,みおくり,seeing one off; farewell,false,
しょうがない,しょうがない,it can't be helped,false,
土地,とち,plot of land,false,
混雑,こんざつ,crowding; confusion; disorder,false,
触れる,ふれる,to touch; to touch on a subject; to come in contact with,false,
住宅,じゅうたく,residence; housing,false,
問い,とい,question,false,
存在,そんざい,existence; being,false,
サプリメント,サプリメント,supplement (drug/medicine),false,
旗,はた,flag,true,2024-11-11
歌手,かしゅ,singer,false,
関心,かんしん,interest; concern,false,
がっかり,がっかり,be disappointed; dejected; feel let down,false,
日光,にっこう,sunlight,false,
当てる,あてる,to hit; to put on; to expose,true,2024-11-14
一方,いっぽう,one side (of two); one way,false,
事実,じじつ,fact; reality,true,2024-11-13
価値,かち,value; worth,false,
手に入れる,てにいれる,to obtain; to procure,false,
不可,ふか,not possible,false,
文字,もじ,letter; character,false,
眺め,ながめ,scene; view,false,
電気自動車,えんきじどうしゃ,electric car; electric vehicle,true,2024-11-18
法,ほう,law; act,true,2024-11-06
留学,りゅうがく,studying abroad,false,
幸せ,しあわせ,happiness; good fortune,false,
ヨーグルト,ヨーグルト,yogurt,false,
翼,つばさ,wing,false,
疑問,ぎもん,question; doubt; problem,false,
芝居,しばい,play; drama,false,
暮れ,くれ,sunset; end; close,false,
否定,ひてい,denial; repudiation,true,2024-11-12
親戚,しんせき,relative; kin,false,
逆,ぎゃく,opposite,false,
日中,にっちゅう,daytime; during the day,false,
薬局,やっきょく,pharmacy,true,2024-11-14
銀,ぎん,Silver,false,
性格,せいかく,character; personality,false,
そのまま,そのまま,as it is (was),false,
汚染,おせん,pollution; contamination,false,
激しい,はげしい,intense; fierce; vehement,false,
効く,きく,to be effective,false,
一言,ひとこと,single word; brief comment,false,
ドライブ,ドライブ,drive; trip by car,false,
手伝い,てつだい,help,true,2024-11-05
ゆっくり,ゆっくり,slowly; at easy,false,
気の毒,きのどく,pitiful; unfortunate,false,
意識,いしき,consciousness; awareness,false,
悲劇,ひげき,tragedy; disaster,false,
解く,とく,to solve; to unravel; to untie,true,2024-11-12
ボウル,ボウル,bowl,false,
ぐつぐつ,ぐつぐつ,simmering,false,
文明,ぶんめい,civilization; culture,false,
ドリンク,ドリンク,drink,true,2024-11-12
穴,あな,hole,false,
苦労,くろう,hardship; labour; toil,true,2024-11-07
信仰,しんこう,(religious) faith; belief,true,2024-11-05
欠ける,かける,to be chipped; to be broken | to be lacking; to be insufficient,false,
思わず,おもわず,reflexively; instinctively,false,
工夫,くふう,scheme; device,true,2024-11-11
飼う,かう,to have (a pet or other animal),false,
背が伸びる,せがのびる,to grow (height),false,
率,りつ,ratio; proportion; percentage,false,
模様,もよう,model; pattern; example,false,
機嫌,きげん,mood; spirits | be in a good mood,true,2024-11-13
おめでとう,おめでとう,congratulations!,false,
商人,しょうにん,trader; merchant,true,2024-11-11
サークル,サークル,club (e.g. company sports club); group with common interests,false,
勘定,かんじょう,calculation; computation; consideration,true,2024-11-12
松,まつ,pine tree,false,
水準,すいじゅん,level; standard,false,
表れる,あらわれる,to appear; to become visible; to be expressed,false,
ほこり,ほこり,dust,false,
デジカメ,デジカメ,digital camera,false,
体温,たいおん,body temperature,false,
意外,いがい,unexpected; surprising,false,
洗濯物,せんたくもの,laundry,false,
清潔,せいけつ,clean; sanitary,false,
平ら,たいら,flatness; level,false,
語,ご,language,false,
命令,めいれい,order; command,false,
株,かぶ,stock; stump; stock (share of a company),false,
値上がり,ねあがり,price increase,false,
メンバー,メンバー,member,false,
順,じゅん,order; ranking,false,
上記,じょうき,the above (text),false,
はちみつ,はちみつ,honey,false,
招く,まねく,to invite,false,
怠ける,なまける,to be idle | to neglect (e.g. one's work),false,
軒,のき,eaves,false,
合わせる,あわせる,to match (rhythm/speed/etc.); to combine,false,
合図,あいず,signal; cue,false,
通り過ぎる,とおりすぎる,to go past; to pass by,false,
知事,ちじ,governor,false,
わがまま,わがまま,selfishness,false,
刈る,かる,to cut; to mow; to prune,false,
バドミントン,バドミントン,badminton,false,
丸,まる,circle,false,
怪我,けが,injury; hurt,false,
作業,さぎょう,work; operation; manufacturing,false,
ところが,ところが,despite; however,false,
莫大,ばくだい,enormous; vast,false,
メダル,メダル,medal,false,
委員,いいん,committee member,false,
交際,こうさい,company; friendship,true,2024-11-04
温度,おんど,temperature,false,
成績,せいせき,results; grades,true,2024-11-16
速度,そくど,speed; velocity,false,
敬語,けいご,honorific language,false,
感じ,かんじ,feeling; sense,true,2024-11-16
そこで,そこで,so; accordingly,false,
次々,つぎつぎ,in succession; one by one,false,
前進,ぜんしん,advance; progress,false,
具体,ぐたい,concrete; tangible,false,
スキー,スキー,skiing; ski,false,
語る,かたる,to talk about; to speak of,false,
あくび,あくび,yawn,false,
克服,こくふく,overcoming (of a difficulty/illness/handicap/etc.); victory over,false,
ふと,ふと,suddenly; casually; accidentally,false,
モデル,モデル,model,false,
周囲,しゅうい,surroundings,false,
化粧品,けしょうひん,cosmetics,true,2024-11-08
感動,かんどう,being deeply moved emotionally,true,2024-11-16
突然,とつぜん,abrupt; sudden; unexpected,false,
漫画家,まんがか,cartoonist; manga artist,false,
辞める,やめる,to resign; to leave (one's job/etc.),false,
電子,でんし,electronic,false,
解ける,とける,to be solved; to be untied,false,
絶滅,ぜつめつ,extinction; extermination,false,
商品,しょうひん,good; merchandise,true,2024-11-11
ネズミ,ネズミ,(uk) mouse; rat | dark gray; dark grey; slate (color/colour),false,
対する,たいする,to face (each other); to confront; to oppose,true,2024-11-13
芸能人,げいのうじん,entertainer; celebrity,false,
今に,いまに,before long; even now,false,
大臣,だいじん,cabinet minister,false,
時期,じき,time; season,false,
ベルト,ベルト,belt,false,
結局,けっきょく,after all; ultimately,true,2024-11-14
クーポン券,クーポンけん,coupon,false,
流行,りゅうこう,fashion; fad,true,2024-11-09
まるで,まるで,entirely; completely,false,
手荷物,てにもつ,hand luggage,false,
自然,しぜん,natural; nature,false,
避ける,さける,to avoid,false,
審判,しんぱん,referee; judgement; umpire,false,
もしも,もしも,if,false,
完成,かんせい,completion; accomplishment,true,2024-11-12
銃,じゅう,gun; rifle,false,
食材,しょくざい,food stuffs; ingredients,false,
過去,かこ,the past,false,
数える,かぞえる,to count,true,2024-11-18
備える,そなえる,to furnish with; to equip with,false,
酔う,よう,to become intoxicated; to feel sick (from movement in e.g. a boat/car),false,
いわゆる,いわゆる,the so-called,false,
迷惑メール,めいわくメール,spam (email),false,
破る,やぶる,to tear; to break; to destroy,false,
当たる,あたる,to be hit; to strike; to be selected; to win,true,2024-11-14
目標,もくひょう,objective; target,false,
器用,きよう,skilful; adroit,false,
ケース,ケース,case,false,
貯金,ちょきん,savings; deposit (e.g. in a bank),false,
注ぐ,そそぐ,to pour (into a container); to water (e.g. plants) | to flow into (e.g. a river),false,
タイトル,タイトル,title,false,
心臓,しんぞう,heart (medical),false,
組織,そしき,organization; structure,false,
ただ,ただ,ordinary; common; usual | only; merely | but; however,false,
欠席,けっせき,absence; non-attendance,true,2024-11-14
ショッピング,ショッピング,shopping,false,
観光地,かんこうち,tourist attraction,true,2024-11-15
はと,はと,pigeon,false,
任せる,まかせる,to entrust (e.g. a task) to another; to leave to,false,
油,あぶら,oil,false,
眺める,ながめる,to gaze at,false,
事前,じぜん,beforehand; in advance,false,
腹が立つ,はらがたつ,to be angry,false,
別に,べつに,not particularly | separately; additionally,false,
谷,たに,valley,false,
ぐっすり,ぐっすり,fast asleep,false,
操作,そうさ,operation; management,true,2024-11-15
悩む,なやむ,to be worried; to be uncertain,false,
販売,はんばい,sales; selling,false,
基本,きほん,foundation; basis,false,
人混み,ひとごみ,a crowd of people,false,
望む,のぞむ,to desire; to wish for,true,2024-11-19
間違いない,まちがいない,sure; for certain; no mistaking it,false,
育つ,そだつ,to be raised; to be brought up,false,
縄,なわ,rope; cord,false,
迷惑,めいわく,trouble; annoyance,false,
越える,こえる,to exceed; to pass,false,
秘密,ひみつ,secret,false,
小麦,こむぎ,wheat,false,
地位,ちい,position; status,true,2024-11-05
勝手,かって,one's own convenience,true,2024-11-07
セット,セット,set; set meal,false,
判断,はんだん,judgement; decision,false,
金庫,きんこ,safe; strongbox,false,
公平,こうへい,fairness; impartiality,false,
比較,ひかく,comparison,false,
毒,どく,poison,false,
前者,ぜんしゃ,the former,false,
無事,ぶじ,safety; peace,false,
役立つ,やくだつ,to be useful,true,2024-11-15
豆,まめ,legume; bean,false,
雷,かみなり,lightning; thunder,false,
実際,じっさい,practicality; reality; actual,true,2024-11-08
訳す,やくす,to translate,false,
オープン,オープン,open,false,
サラリーマン,サラリーマン,company employee,false,
紐,ひも,string; cord,false,
服装,ふくそう,garments; attire,false,
小麦粉,こむぎこ,wheat flour,false,
結論,けつろん,conclusion,false,
あんまり,あんまり,not very; not much | surplus; excess,false,
料金,りょうきん,fee; charge,false,
砂漠,さばく,desert,false,
宛先,あてさき,destination; addressee,false,
テレビ局,テレビきょく,television station,true,2024-11-14
まさか,まさか,(uk) by no means; never!; something unexpected,false,
助手,じょしゅ,assistant; helper,true,2024-11-07
参加者,さんかしゃ,participant,true,2024-11-08
人事,じんじ,human resources; HR,false,
肩,かた,shoulder,false,
衣服,いふく,clothes,false,
徹夜,てつや,all night; sleepless night,false,
経験者,けいけんしゃ,experienced person,false,
～によると,～によると,according to ～,false,
地域,ちいき,area; region,false,
章,しょう,chapter; section,false,
プラグ,プラグ,plug; connector,false,
緊張,きんちょう,nervousness; stress,false,
信用,しんよう,confidence; trust,true,2024-11-05
餌,えさ,feed; pet food; bait,true,2024-11-15
しばしば,しばしば,often; repeatedly,false,
美人,びじん,beautiful woman,false,
迷子,まいご,lost child,false,
義務,ぎむ,duty; obligation,false,
はさみ,はさみ,scissors,false,
加える,くわえる,to add; to include,true,2024-11-07
泉,いずみ,spring; fountain,false,
見解,けんかい,opinion; point of view,false,
理想,りそう,ideal,true,2024-11-16
変更,へんこう,change; alteration,true,2024-11-11
老い,おい,old age; old person,false,
自信がつく,じしんがつく,to gain confidence,true,2024-11-05
完了,かんりょう,completion,true,2024-11-12
バカ,バカ,fool; idiot; stupid,false,
少しも,すこしも,not one bit,false,
憲法,けんぽう,constitution,false,
足元,あしもと,at one's feet,false,
作物,さくもつ,crops,false,
偉大,いだい,greatness,false,
観察,かんさつ,observation,true,2024-11-13
人種,じんしゅ,race (of people),false,
手術,しゅじゅつ,surgery,false,
我々,われわれ,we,false,
恐ろしい,おそろしい,dreadful; terrifying; frightening,false,
組合,くみあい,association; union,false,
平日,へいじつ,weekday,false,
バランス,バランス,balance,false,
要素,ようそ,component; factor; item,false,
放す,はなす,to release; to let go,false,
位,くらい,about,true,2024-11-05
チーム,チーム,team,false,
ばらばら,ばらばら,unorganized; disarrayed,false,
ざっと,ざっと,roughly; approximately,false,
陽気,ようき,cheerful; lively,false,
ラケット,ラケット,racket,false,
大陸,たいりく,continent,false,
むしろ,むしろ,rather; better; instead,false,
一度に,いちどに,all at once,false,
期間,きかん,period; term,false,
ウイスキー,ウイスキー,whisky; whiskey,false,
話し合い,はなしあい,discussion,false,
拡大,かくだい,magnification; amplification; enlargement; expansion,false,
底,そこ,bottom; sole,false,
キロ,キロ,kilometer; kilogram,false,
座席,ざせき,seat,true,2024-11-14
ネット,ネット,internet; (physical) net,false,
経済学,けいざいがく,(study of) economics,false,
パーセント,パーセント,percent,true,2024-11-11
学期,がっき,school term; semester,false,
握手,あくしゅ,handshake,false,
信念,しんねん,belief; faith,true,2024-11-05
誘う,さそう,to invite; to ask (someone to do),false,
金属,きんぞく,metal,false,
目覚まし時計,めざましどけい,alarm clock,false,
発表,はっぴょう,announcement; publication; presenting,false,
年月,としつき、ねんげつ,months and years,false,
話題,わだい,topic; subject,false,
革,かわ,leather,false,
ケチ,けち,stingy; miser,false,
大した,たいした,considerable; important; significant; a big deal,false,
覆う,おおう,to cover; to hide,false,
報告書,ほうこくしょ,(written) report,true,2024-11-11
パイプ,パイプ,pipe,false,
うさぎ,うさぎ,rabbit,false,
抱く,いだく、だく,to embrace; to hug,false,
現金,げんきん,cash,false,
入力,にゅうりょく,input; (data) entry,false,
霧,きり,fog; mist,false,
ファストフード,ファストフード,fast-food,false,
チーズ,チーズ,cheese,true,2024-11-18
年中,ねんじゅう,whole year; all year round,false,
半ば,なかば,middle; halfway; partly,false,
供給,きょうきゅう,supply; provision,false,
お詫び,おわび,apology,false,
グラス,グラス,glass (drinking vessel),false,
機関,きかん,agency; institution; system; facility,false,
及ぼす,およぼす,to exert; to cause,false,
正,せい,(logical) true; regular,false,
栄養,えいよう,nutrition,false,
有利,ゆうり,advantageous; profitable,true,2024-11-07
光景,こうけい,scene; view,false,
アイディア,アイディア,idea,false,
徹底,てってい,thoroughness; completeness,false,
中古,ちゅうこ,used; second-hand,false,
加減,かげん,adjustment; add and subtract,true,2024-11-07
苦痛,くつう,pain; agony,false,
品,しな,article; item; good,false,
覚める,さめる,to wake; to wake up,false,
好む,このむ,to prefer; to like,false,
快適,かいてき,pleasant; comfortable,true,2024-11-18
連続,れんぞく,occurring in succession; continuing,false,
休日,きゅうじつ,holiday; day off,false,
刺激,しげき,stimulus,false,
翌日,よくじつ,next day,false,
風景,ふうけい,scenery,false,
流す,ながす,to drain; to pour; to wash away; to broadcast; to circulate,false,
オフィス,オフィス,office,false,
レンタル,レンタル,rental,false,
保険証,ほけんしょう,insurance card,false,
おめでとうございます,おめでとうございます,congratulations!,false,
うがい,うがい,(uk) gargling; rinsing one's mouth,false,
ユーモア,ユーモア,humour,false,
劇場,げきじょう,theatre; playhouse,false,
唯一,ゆいいつ,sole; unique,false,
